team,village_id,week_end_date,tablet_serials_count,tablet_serials
KITKIT,57,2018-11-23,6,"['5A28002606', '5B20002283', '6116001383', '6116001558', '6118003124', '6129002320']"
KITKIT,58,2018-11-23,18,"['5A22001051', '5A27000550', '5A27000788', '5A28002553', '5A28002564', '5B13000717', '5B13001127', '5B20002321', '6111000322', '6111001501', '6112001370', '6113002162', '6116002168', '6116002403', '6116002411', '6118002560', '6118002906', '6129001151']"
KITKIT,59,2018-11-23,5,"['6115000538', '6116001223', '6116002280', '6116002467', '6118002773']"
KITKIT,60,2018-11-23,16,"['5A27002161', '5A29000356', '5B12002765', '5B12003042', '5B13001751', '6112000132', '6112000275', '6112001351', '6115000405', '6115001112', '6116001908', '6116002454', '6116002468', '6129001140', '6130000054', '6130000177']"
KITKIT,61,2018-11-23,8,"['5A27001568', '5A29000620', '6112001289', '6115001421', '6116001454', '6116001629', '6118003198', '6129001305']"
KITKIT,63,2018-11-23,17,"['5A27000924', '5A27001547', '5A28000844', '5B12004704', '5B13002494', '5B20001161', '5B20002342', '6111001496', '6111002098', '6114000120', '6116001384', '6116001896', '6116002313', '6116002748', '6118002252', '6118002652', '6129001258']"
KITKIT,64,2018-11-23,18,"['5A22000786', '5A22001194', '5A27000417', '5A29000810', '5B12002903', '5B20001175', '5B20002358', '6111000472', '6111000976', '6115001508', '6116000773', '6116001313', '6116001668', '6116001794', '6116001798', '6116002266', '6128000713', '6129000660']"
KITKIT,65,2018-11-23,16,"['5A28002295', '5A28002638', '5A29001393', '5A29001468', '5B12002836', '5B13001751', '5B13002233', '6112000059', '6112000108', '6112000235', '6112001301', '6115001112', '6116002375', '6116002850', '6118002188', '6118002805']"
KITKIT,66,2018-11-23,1,['6111000430']
KITKIT,67,2018-11-23,16,"['5B12002635', '5B12002782', '5B12002890', '5B13001506', '5B13002320', '5C03000005', '6109000420', '6111000018', '6112000093', '6112001160', '6112001260', '6112001331', '6115001191', '6116002528', '6116002542', '6116002861']"
KITKIT,68,2018-11-23,9,"['5A28002388', '5A29000316', '5B12003041', '5B13002296', '5B20001165', '6115001107', '6116002460', '6116002580', '6129002259']"
KITKIT,69,2018-11-23,22,"['5A27002061', '5A29000336', '5B12003099', '5B12003441', '5B13002322', '6111001666', '6111001768', '6112001118', '6112001199', '6115000386', '6116000837', '6116001315', '6116001583', '6116001589', '6116002004', '6116002167', '6116002531', '6118002200', '6118002284', '6118002803', '6127001229', '6129000692']"
KITKIT,70,2018-11-23,14,"['5A28001257', '5A29001233', '5B12002569', '5B12002832', '5B20001395', '5B20002315', '6113001425', '6115000500', '6115001330', '6116001248', '6116002089', '6116002366', '6116002827', '6118002736']"
KITKIT,71,2018-11-23,9,"['5A27000431', '5B12003083', '5B12003727', '5B20001058', '6111002073', '6112001207', '6112001404', '6116001500', '6118001843']"
KITKIT,72,2018-11-23,5,"['6111000682', '6112001433', '6115001469', '6116002333', '6129002228']"
KITKIT,73,2018-11-23,10,"['5A27000628', '5A27001302', '5A27001618', '5A28000262', '5A28002612', '5A29001498', '5B12003673', '6112000207', '6112001498', '6118002205']"
KITKIT,74,2018-11-23,13,"['5A27001973', '5B04000022', '5B12002913', '5B12002928', '5B12003064', '5B13001220', '5B20001122', '5B20002323', '6112000082', '6112000117', '6112000265', '6112001596', '6116002058']"
KITKIT,75,2018-11-23,16,"['5A22000754', '5A27000656', '5A28001242', '5B20001197', '5B20001217', '5B20002238', '6111000058', '6111001476', '6114000304', '6115000458', '6116001073', '6116001415', '6118002969', '6118003013', '6118003194', '6118003475']"
KITKIT,76,2018-11-23,19,"['5A23001136', '5A27000717', '5A27001987', '5A28002425', '5A29001423', '5B12004761', '5B13001026', '6111000603', '6111000772', '6111001742', '6112001179', '6112001250', '6115001100', '6116001217', '6116001888', '6116002391', '6118002531', '6118002909', '6126000113']"
KITKIT,77,2018-11-23,19,"['5A27001357', '5A27001490', '5A27001494', '5A27001918', '5B13001797', '5B13002064', '5B20001167', '5B20002297', '6111000977', '6111001693', '6112000116', '6112001500', '6115000414', '6116000870', '6116002143', '6116002472', '6116002800', '6118001668', '6118002714']"
