team,village_id,week_end_date,tablet_serials_count,tablet_serials
KITKIT,57,2017-12-22,8,"['5A27001661', '5A28000388', '5A28001127', '6111000084', '6111000190', '6116001476', '6116002258', '6116002546']"
KITKIT,58,2017-12-22,22,"['5A22001065', '5A23001547', '5A23002696', '5A27000561', '5A27001891', '5A27001906', '5A27001990', '5A28002483', '5A28002564', '5C02001252', '6111001715', '6115000901', '6115002167', '6116000837', '6116001116', '6116001232', '6116001919', '6116002205', '6116002251', '6116002257', '6116002484', '6127002728']"
KITKIT,59,2017-12-22,12,"['5A28000372', '5A28000952', '5A29000774', '5B19001342', '5B20001213', '6111002018', '6115000510', '6116001314', '6116002075', '6116002510', '6118001697', '6118001753']"
KITKIT,60,2017-12-22,18,"['5A27001402', '5A27001617', '5A27001715', '5A28002152', '5B13002489', '5B20001200', '5B20001221', '5B20001276', '5B20002224', '6116001215', '6116001541', '6116001630', '6118001757', '6118002106', '6118002194', '6118002209', '6118002931', '6118002986']"
KITKIT,61,2017-12-22,1,['6118002043']
KITKIT,62,2017-12-22,18,"['5A23001136', '5A23001470', '5A27000923', '5A27001748', '5A27001799', '5B12002896', '5B20002335', '6111000566', '6111001476', '6115001466', '6115002170', '6116001650', '6116002143', '6118001689', '6118002652', '6118002923', '6118003107', '6118003192']"
KITKIT,63,2017-12-22,20,"['5A27001448', '5A27001771', '5A27002149', '5A27002171', '5A28002324', '5B12002740', '5B20001381', '5B20002325', '6116001653', '6116001665', '6116002196', '6118001651', '6118001673', '6118002178', '6118002259', '6118002492', '6118002746', '6118002914', '6118002951', '6118003105']"
KITKIT,64,2017-12-22,19,"['5A27001697', '5A29001255', '5B12003328', '5B13001751', '5B20001365', '6112000074', '6114000086', '6115000371', '6115000622', '6115002255', '6116001139', '6116001154', '6116002564', '6116002653', '6118001813', '6118002311', '6118002454', '6118002926', '6118003265']"
KITKIT,65,2017-12-22,8,"['5A27001617', '6116001510', '6118001757', '6118002039', '6118002174', '6118002483', '6118003109', '6118003351']"
KITKIT,66,2017-12-22,6,"['5A27001805', '5A27001929', '5A28001786', '6111000075', '6111001157', '6118003513']"
KITKIT,67,2017-12-22,3,"['6116001985', '6116002094', '6116002430']"
KITKIT,68,2017-12-22,7,"['5A27001432', '5A27001439', '5A27002111', '5A29001256', '6111000941', '6115001519', '6115001541']"
KITKIT,70,2017-12-22,7,"['5A27001495', '5A27001973', '5A28000858', '5B20001347', '6111000631', '6116001664', '6118001760']"
KITKIT,71,2017-12-22,17,"['5A21001111', '5A22001134', '5A23002732', '5A27001361', '5A27001650', '5A27001943', '5B20000661', '5B20001144', '5B20001235', '6111000647', '6111001828', '6115001103', '6118002076', '6118002790', '6118003066', '6118003329', '6118003355']"
KITKIT,72,2017-12-22,6,"['5A27002127', '5A28002453', '5B04000073', '5B20002289', '6116001340', '6118002189']"
KITKIT,73,2017-12-22,9,"['5A23001417', '5B20001304', '5B20001727', '5B20002270', '6111000157', '6114000936', '6115000515', '6118001739', '6118003208']"
KITKIT,74,2017-12-22,14,"['5A27001434', '5A27001436', '5A27001612', '5B12004661', '5B20001298', '5B20002002', '6109000863', '6115002009', '6116001118', '6116001781', '6116002166', '6118003185', '6118003190', '6118003565']"
KITKIT,75,2017-12-22,1,['5A27002160']
KITKIT,76,2017-12-22,19,"['5A22000957', '5A27000753', '5A28002449', '6113001023', '6115000499', '6115001221', '6115001283', '6115001617', '6116001034', '6116001929', '6116002134', '6118001790', '6118002463', '6118002534', '6118002602', '6118002988', '6118003165', '6118003169', '6118003263']"
KITKIT,79,2017-12-22,9,"['5A27001307', '6115002310', '6116001293', '6116001640', '6116001649', '6116002451', '6116002529', '6116002816', '6118001659']"
KITKIT,80,2017-12-22,21,"['5A27001411', '5A27001599', '5A28000065', '5A28000108', '5A28000193', '5B20001181', '5B20001199', '5B20002344', '6111000340', '6111002085', '6113000753', '6116001256', '6116001938', '6116002377', '6116002792', '6118002799', '6118003020', '6118003025', '6118003164', '6118003274', '6118003507']"
KITKIT,84,2017-12-22,23,"['5A22000662', '5A23002888', '5A27001220', '5A27001411', '5A27001603', '5A27001786', '5B20001394', '5B20002364', '6116000839', '6116001077', '6116001582', '6116002044', '6116002515', '6118001520', '6118001939', '6118002246', '6118002255', '6118002285', '6118002318', '6118002699', '6118002921', '6118003268', '6118003497']"
KITKIT,85,2017-12-22,9,"['5A27001817', '5A28001044', '6111002102', '6112000256', '6116001064', '6116001524', '6116001682', '6116002460', '6118003053']"
