team,village_id,week_end_date,tablet_serials_count,tablet_serials
ONEBILLION,86,2017-12-29,1,['6118002124']
ONEBILLION,87,2017-12-29,2,"['6116001536', '6118002759']"
ONEBILLION,88,2017-12-29,8,"['5A27001392', '5A27001997', '6112001106', '6115001446', '6116001049', '6116001343', '6116001619', '6116002157']"
ONEBILLION,89,2017-12-29,6,"['5A27001314', '5A28000924', '6112001184', '6114000008', '6129002317', '6130000239']"
ONEBILLION,90,2017-12-29,3,"['5B14002041', '6111002101', '6116001605']"
ONEBILLION,91,2017-12-29,3,"['6115001584', '6118003073', '6130000071']"
ONEBILLION,93,2017-12-29,3,"['6116002202', '6118002751', '6130000133']"
ONEBILLION,94,2017-12-29,3,"['5B13002283', '6116000751', '6116002547']"
ONEBILLION,95,2017-12-29,0,[]
ONEBILLION,96,2017-12-29,5,"['6116001490', '6116001534', '6116001601', '6116002037', '6118003291']"
ONEBILLION,97,2017-12-29,3,"['6116001317', '6116002016', '6118002503']"
ONEBILLION,98,2017-12-29,4,"['6112001154', '6116001600', '6118002593', '6118002655']"
ONEBILLION,99,2017-12-29,7,"['5A28001331', '5B13002169', '6111002157', '6116001286', '6116001807', '6118002187', '6118003044']"
ONEBILLION,100,2017-12-29,1,['6113001032']
ONEBILLION,101,2017-12-29,9,"['6114000004', '6115001676', '6116000906', '6116001573', '6116002132', '6118002374', '6118002854', '6130000188', '6130000193']"
ONEBILLION,103,2017-12-29,0,[]
ONEBILLION,104,2017-12-29,1,['6118002386']
ONEBILLION,105,2017-12-29,2,"['6116001657', '6118002127']"
ONEBILLION,106,2017-12-29,3,"['6111002106', '6116002189', '6129002051']"
ONEBILLION,107,2017-12-29,3,"['6115001563', '6116002246', '6118002302']"
ONEBILLION,108,2017-12-29,1,['6118003331']
ONEBILLION,109,2017-12-29,4,"['5A27001710', '6114000290', '6118002953', '6118003342']"
ONEBILLION,110,2017-12-29,5,"['6113001276', '6116002079', '6116002837', '6118002322', '6118002925']"
ONEBILLION,111,2017-12-29,4,"['5A27000965', '6116002282', '6116002604', '6118003324']"
ONEBILLION,112,2017-12-29,1,['6129002119']
ONEBILLION,113,2017-12-29,8,"['5A29000709', '6111002103', '6115000420', '6116001067', '6116001158', '6116001746', '6116002457', '6118002175']"
